keyword,keyword_secundaria,cluster,intencion_busqueda,tipo_keyword,servicio_asociado,zona,prioridad,url_objetivo,notas
reforma ático loft Madrid,reforma dúplex Madrid,8-tipo-vivienda,transaccional,servicio específico,reformas-integrales,Madrid,Media,/blog/reforma-atico-loft-madrid,tipología especial
reformas Salamanca Madrid,reformas barrio Salamanca,9-zonas-madrid,transaccional,local,reformas-integrales,Salamanca,Media,/blog/reformas-salamanca-madrid,zona SEO propuesta; validar con la empresa antes de publicar
reformas Chamberí Madrid,reformas barrio Chamberí,9-zonas-madrid,transaccional,local,reformas-integrales,Chamberí,Media,/blog/reformas-chamberi-madrid,zona SEO propuesta; validar con la empresa antes de publicar
reformas Retiro Madrid,reformas barrio Retiro,9-zonas-madrid,transaccional,local,reformas-integrales,Retiro,Media,/blog/reformas-retiro-madrid,zona SEO propuesta; validar con la empresa antes de publicar
suelo laminado vs parquet Madrid,mejor suelo para reforma Madrid,10-materiales-acabados,comparativa,comparativo,pintura-pladur-albanileria,Madrid,Media,/blog/suelo-laminado-parquet-madrid,comparativa de materiales
pintura pladur albañilería Madrid,reforma pladur Madrid,10-materiales-acabados,transaccional,servicio específico,pintura-pladur-albanileria,Madrid,Media,/servicios/pintura-pladur-albanileria,keyword pilar oficios; capturada directamente por la página de servicio
quitar gotelé Madrid,alisar paredes precio Madrid,10-materiales-acabados,transaccional,servicio específico,pintura-pladur-albanileria,Madrid,Media,/blog/quitar-gotele-alisar-paredes-madrid,sustituye a la antigua keyword de iluminación reforma Madrid como spoke del cluster 10
errores reforma baño Madrid,qué no hacer reforma baño Madrid,11-errores-frecuentes,informativa,errores frecuentes,reformas-banos-cocinas,Madrid,Media,/blog/errores-reforma-bano-madrid,contenido de prevención
errores reforma cocina Madrid,qué no hacer reforma cocina Madrid,11-errores-frecuentes,informativa,errores frecuentes,reformas-banos-cocinas,Madrid,Media,/blog/errores-reforma-cocina-madrid,contenido de prevención
errores reforma integral Madrid,qué no hacer reforma integral Madrid,11-errores-frecuentes,informativa,errores frecuentes,reformas-integrales,Madrid,Media,/blog/errores-reforma-integral-madrid,contenido de prevención
reformar baño pequeño Madrid,ideas baño pequeño Madrid,2-reformas-banos,transaccional,comercial,reformas-banos-cocinas,Madrid,Media,/blog/reformar-bano-pequeno-madrid,sustituye a baños diseño Madrid (bajo volumen y solapada con la página de servicio)
cambiar instalación eléctrica piso antiguo Madrid,boletín eléctrico reforma Madrid,13-instalaciones-fontaneria,transaccional,comercial,instalaciones-electricas-fontaneria,Madrid,Media,/blog/cambiar-instalacion-electrica-piso-antiguo-madrid,primer artículo del cluster 13; el servicio no tenía apoyo en el blog
armarios empotrados a medida Madrid,carpintería a medida reforma Madrid,14-carpinteria-aluminio,transaccional,comercial,carpinteria-madera-aluminio,Madrid,Media,/blog/armarios-empotrados-carpinteria-medida-madrid,primer artículo del cluster 14; sustituye al artículo que canibalizaba plazos de reforma
ventanas aluminio o PVC Madrid,mejor ventana para reforma Madrid,14-carpinteria-aluminio,comparativa,comparativo,carpinteria-madera-aluminio,Madrid,Media,/blog/ventanas-aluminio-vs-pvc-madrid,segundo artículo del cluster 14; sustituye a iluminación reforma Madrid (bajo volumen)
qué incluye una reforma integral en Madrid,partidas reforma integral Madrid,1-reformas-integrales,informativa,educativo,reformas-integrales,Madrid,Media,/blog/que-incluye-reforma-integral-madrid,artículo reenfocado para no competir con la keyword pilar de la página de servicio
qué incluye una reforma de baño completa,fases reforma baño Madrid,2-reformas-banos,informativa,educativo,reformas-banos-cocinas,Madrid,Media,/blog/que-incluye-reforma-bano-completa-madrid,artículo reenfocado para no competir con la keyword pilar de la página de servicio
qué incluye una reforma de cocina en Madrid,partidas reforma cocina Madrid,3-reformas-cocinas,informativa,educativo,reformas-banos-cocinas,Madrid,Media,/blog/que-incluye-reforma-cocina-madrid,artículo reenfocado para no competir con la keyword pilar de la página de servicio
qué incluye una reforma de local comercial,fases reforma local comercial Madrid,4-locales-comerciales,informativa,educativo,reformas-locales-comerciales,Madrid,Media,/blog/que-incluye-reforma-local-comercial-madrid,artículo reenfocado para no competir con la keyword pilar de la página de servicio
